P001;2;Jl. Tuanku Tambusai
P002;2;Jl. Raya Boter
P003;2;Jl. Raya Kumu
P011;2;Jl. Daludalu-Rohul
P004;2;Jl. Diponegoro - Pasir Pengaraian
P005;2;Jl. Tambusai
P006;2;Jl. Raya Kabun
P007;2;Jl. Bangkinang - Pasir Pengaraian
P008;2;Jl. Raya Tandun
P009;2;Jl. Raya Kumu
P010;2;Jl. Raya Dalu-Dalu
P012;2;Jl. Siabu - Ujung Batu
